DownloadData,Year
"<a href=""http://us.imdb.com/title/tt3155794/""><img src=""/static/nopass.png"" alt=""[[0]]"" title=""[Fewer than two women in this movie]""></a>
		<a id=""movie-9602"" href=""/view/9602/passage_de_venus/"">Passage de Venus</a>   <a href=""/view/9602/passage_de_venus/"" onclick=""showComments('9602'); return false;""><img src=""/static/comments.png"" alt=""[1 comment(s) available]""
				id=""comment-img-9602"" style=""height: 10px; width: 10px;""
                title=""1 comment""></a>  </div> <div style=""border: 2px dashed white; margin-top: 3px; margin-right: 14px; padding: 3px; background-color: #CFE8CC; text-align: center;"">  <div style=""margin-top: 7px; font-size: 80%;""><a href=""/search/"">You can also search or list per year</a>, or <a href=""?list=all"">list all movies</a>.</div>
</div>
</div>

<div>
<h2>About</h2>
<p>The <b>Bechdel Test</b>, or <b><a href=""https://www.independent.co.uk/arts-entertainment/films/news/please-stop-calling-it-the-bechdel-test-says-alison-bechdel-10474730.html"">Bechdel-Wallace Test</a></b>, sometimes called the <i>Mo Movie Measure</i> or <i>Bechdel Rule</i> is a simple test which names the following three criteria: (1) it has to have at least two women in it, who (2) who talk to each other, about (3) something besides a man. The test was popularized by <b>Alison Bechdel</b>'s comic, the name of which Google won't let me put on this page for inciting hate, in a 1985 strip called <a href=""https://dykestowatchoutfor.com/the-rule/""><i>The Rule</i></a>. For a nice video introduction to the subject please check out <a href=""http://www.feministfrequency.com/2009/12/the-bechdel-test-for-women-in-movies/"">The Bechdel Test for Women in Movies</a> on <a href=""http://www.feministfrequency.com/"">feministfrequency.com</a>.</p>
<p>If you need access to the raw data, check out the <a href=""/api/v1/doc"">docs for the api</a>.</p>

<h2><a href=""/add/"" style=""text-decoration: none;"">Add a movie</a></h2>
<p>If you want to add a movie to this list, please go to the <a href=""/add/"" style=""text-decoration: underline; font-weight: bold"">Add a movie</a> page and fill in the form. If you disagree with a rating, please leave a comment on the appropriate movie page instead.</p>
<!--
<h2>Icons</h2>",1874
"<a href=""http://us.imdb.com/title/tt14495706/""><img src=""/static/nopass.png"" alt=""[[0]]"" title=""[Fewer than two women in this movie]""></a>
		<a id=""movie-9804"" href=""/view/9804/la_rosace_magique/"">La Rosace Magique</a>   <a href=""/view/9804/la_rosace_magique/"" onclick=""showComments('9804'); return false;""><img src=""/static/comments.png"" alt=""[1 comment(s) available]""
				id=""comment-img-9804"" style=""height: 10px; width: 10px;""
                title=""1 comment""></a>  </div>",1877
"<a href=""http://us.imdb.com/title/tt12592084/""><img src=""/static/nopass.png"" alt=""[[0]]"" title=""[Fewer than two women in this movie]""></a>
		<a id=""movie-9806"" href=""/view/9806/le_singe_musicien/"">Le singe musicien</a>   <a href=""/view/9806/le_singe_musicien/"" onclick=""showComments('9806'); return false;""><img src=""/static/comments.png"" alt=""[1 comment(s) available]""
				id=""comment-img-9806"" style=""height: 10px; width: 10px;""
                title=""1 comment""></a>  </div>",1878
"<a href=""http://us.imdb.com/title/tt2221420/""><img src=""/static/nopass.png"" alt=""[[0]]"" title=""[Fewer than two women in this movie]""></a>
		<a id=""movie-9603"" href=""/view/9603/sallie_gardner_at_a_gallop/"">Sallie Gardner at a Gallop</a>   <a href=""/view/9603/sallie_gardner_at_a_gallop/"" onclick=""showComments('9603'); return false;""><img src=""/static/comments.png"" alt=""[1 comment(s) available]""
				id=""comment-img-9603"" style=""height: 10px; width: 10px;""
                title=""1 comment""></a>  </div>",1878
"<a href=""http://us.imdb.com/title/tt7816420/""><img src=""/static/nopass.png"" alt=""[[0]]"" title=""[Fewer than two women in this movie]""></a>
		<a id=""movie-9816"" href=""/view/9816/athlete_swinging_a_pick/"">Athlete Swinging a Pick</a>   <a href=""/view/9816/athlete_swinging_a_pick/"" onclick=""showComments('9816'); return false;""><img src=""/static/comments.png"" alt=""[1 comment(s) available]""
				id=""comment-img-9816"" style=""height: 10px; width: 10px;""
                title=""1 comment""></a>  </div>",1881
"<a href=""http://us.imdb.com/title/tt5459794/""><img src=""/static/nopass.png"" alt=""[[0]]"" title=""[Fewer than two women in this movie]""></a>
		<a id=""movie-9831"" href=""/view/9831/buffalo_running/"">Buffalo Running</a>   <a href=""/view/9831/buffalo_running/"" onclick=""showComments('9831'); return false;""><img src=""/static/comments.png"" alt=""[1 comment(s) available]""
				id=""comment-img-9831"" style=""height: 10px; width: 10px;""
                title=""1 comment""></a>  </div>",1883
"<a href=""http://us.imdb.com/title/tt8588366/""><img src=""/static/nopass.png"" alt=""[[0]]"" title=""[Fewer than two women in this movie]""></a>
		<a id=""movie-9832"" href=""/view/9832/l&#39;homme_machine/"">L&#39;homme machine</a>   <a href=""/view/9832/l&#39;homme_machine/"" onclick=""showComments('9832'); return false;""><img src=""/static/comments.png"" alt=""[1 comment(s) available]""
				id=""comment-img-9832"" style=""height: 10px; width: 10px;""
                title=""1 comment""></a>  </div>",1885
"<a href=""http://us.imdb.com/title/tt8361552/""><img src=""/static/nopass.png"" alt=""[[0]]"" title=""[Fewer than two women in this movie]""></a>
		<a id=""movie-9902"" href=""/view/9902/baboon_climbing_a_pole/"">Baboon Climbing a Pole</a>   </div>",1887
"<a href=""http://us.imdb.com/title/tt7411790/""><img src=""/static/nopass.png"" alt=""[[0]]"" title=""[Fewer than two women in this movie]""></a>
		<a id=""movie-9837"" href=""/view/9837/child_carrying_flowers_to_woman/"">Child Carrying Flowers to Woman</a>   <a href=""/view/9837/child_carrying_flowers_to_woman/"" onclick=""showComments('9837'); return false;""><img src=""/static/comments.png"" alt=""[1 comment(s) available]""
				id=""comment-img-9837"" style=""height: 10px; width: 10px;""
                title=""1 comment""></a>  </div>",1887
"<a href=""http://us.imdb.com/title/tt8133192/""><img src=""/static/nopass.png"" alt=""[[0]]"" title=""[Fewer than two women in this movie]""></a>
		<a id=""movie-9836"" href=""/view/9836/cockatoo_flying/"">Cockatoo Flying</a>   <a href=""/view/9836/cockatoo_flying/"" onclick=""showComments('9836'); return false;""><img src=""/static/comments.png"" alt=""[1 comment(s) available]""
				id=""comment-img-9836"" style=""height: 10px; width: 10px;""
                title=""1 comment""></a>  </div>",1887
"<a href=""http://us.imdb.com/title/tt7541160/""><img src=""/static/nopass.png"" alt=""[[0]]"" title=""[Fewer than two women in this movie]""></a>
		<a id=""movie-9838"" href=""/view/9838/jumping_over_a_man&#39;s_back-leapfrog/"">Jumping Over a Man&#39;s Back-Leapfrog</a>   <a href=""/view/9838/jumping_over_a_man&#39;s_back-leapfrog/"" onclick=""showComments('9838'); return false;""><img src=""/static/comments.png"" alt=""[1 comment(s) available]""
				id=""comment-img-9838"" style=""height: 10px; width: 10px;""
                title=""1 comment""></a>  </div>",1887
"<a href=""http://us.imdb.com/title/tt7754902/""><img src=""/static/nopass.png"" alt=""[[0]]"" title=""[Fewer than two women in this movie]""></a>
		<a id=""movie-9841"" href=""/view/9841/man_riding_jumping_horse/"">Man Riding Jumping Horse</a>   <a href=""/view/9841/man_riding_jumping_horse/"" onclick=""showComments('9841'); return false;""><img src=""/static/comments.png"" alt=""[1 comment(s) available]""
				id=""comment-img-9841"" style=""height: 10px; width: 10px;""
                title=""1 comment""></a>  </div>",1887
"<a href=""http://us.imdb.com/title/tt2075247/""><img src=""/static/nopass.png"" alt=""[[0]]"" title=""[Fewer than two women in this movie]""></a>
		<a id=""movie-9614"" href=""/view/9614/man_walking_around_the_corner/"">Man Walking Around the Corner</a>   <a href=""/view/9614/man_walking_around_the_corner/"" onclick=""showComments('9614'); return false;""><img src=""/static/comments.png"" alt=""[1 comment(s) available]""
				id=""comment-img-9614"" style=""height: 10px; width: 10px;""
                title=""1 comment""></a>  </div>",1887
"<a href=""http://us.imdb.com/title/tt1758563/""><img src=""/static/nopass.png"" alt=""[[0]]"" title=""[Fewer than two women in this movie]""></a>
		<a id=""movie-9615"" href=""/view/9615/accordion_player/"">Accordion Player</a>   <a href=""/view/9615/accordion_player/"" onclick=""showComments('9615'); return false;""><img src=""/static/comments.png"" alt=""[1 comment(s) available]""
				id=""comment-img-9615"" style=""height: 10px; width: 10px;""
                title=""1 comment""></a>  </div>",1888
"<a href=""http://us.imdb.com/title/tt2116853/""><img src=""/static/nopass.png"" alt=""[[0]]"" title=""[Fewer than two women in this movie]""></a>
		<a id=""movie-9947"" href=""/view/9947/brighton_street_scene/"">Brighton Street Scene</a>   </div>",1888
"<a href=""http://us.imdb.com/title/tt3274100/""><img src=""/static/nopass.png"" alt=""[[0]]"" title=""[Fewer than two women in this movie]""></a>
		<a id=""movie-9675"" href=""/view/9675/pferd_und_reiter_springen_uber_ein_hindernis/"">Pferd und Reiter Springen uber ein Hindernis</a>   <a href=""/view/9675/pferd_und_reiter_springen_uber_ein_hindernis/"" onclick=""showComments('9675'); return false;""><img src=""/static/comments.png"" alt=""[1 comment(s) available]""
				id=""comment-img-9675"" style=""height: 10px; width: 10px;""
                title=""1 comment""></a>  </div>",1888
"<a href=""http://us.imdb.com/title/tt0392728/""><img src=""/static/nopass.png"" alt=""[[0]]"" title=""[Fewer than two women in this movie]""></a>
		<a id=""movie-8040"" href=""/view/8040/roundhay_garden_scene/"">Roundhay Garden Scene</a>   <a href=""/view/8040/roundhay_garden_scene/"" onclick=""showComments('8040'); return false;""><img src=""/static/comments.png"" alt=""[1 comment(s) available]""
				id=""comment-img-8040"" style=""height: 10px; width: 10px;""
                title=""1 comment""></a>  </div>",1888
"<a href=""http://us.imdb.com/title/tt0343112/""><img src=""/static/nopass.png"" alt=""[[0]]"" title=""[Fewer than two women in this movie]""></a>
		<a id=""movie-9616"" href=""/view/9616/traffic_crossing_leeds_bridge/"">Traffic Crossing Leeds Bridge</a>   <a href=""/view/9616/traffic_crossing_leeds_bridge/"" onclick=""showComments('9616'); return false;""><img src=""/static/comments.png"" alt=""[1 comment(s) available]""
				id=""comment-img-9616"" style=""height: 10px; width: 10px;""
                title=""1 comment""></a>  </div>",1888
"<a href=""http://us.imdb.com/title/tt2116898/""><img src=""/static/nopass.png"" alt=""[[0]]"" title=""[Fewer than two women in this movie]""></a>
		<a id=""movie-9945"" href=""/view/9945/hyde_park_corner/"">Hyde Park Corner</a>   </div>",1889
"<a href=""http://us.imdb.com/title/tt0466876/""><img src=""/static/nopass.png"" alt=""[[0]]"" title=""[Fewer than two women in this movie]""></a>
		<a id=""movie-9619"" href=""/view/9619/leisurely_pedestrians,_open_topped_buses_and_hansom_cabs_with_trotting_horses/"">Leisurely Pedestrians, Open Topped Buses and Hansom Cabs with Trotting Horses</a>   <a href=""/view/9619/leisurely_pedestrians,_open_topped_buses_and_hansom_cabs_with_trotting_horses/"" onclick=""showComments('9619'); return false;""><img src=""/static/comments.png"" alt=""[1 comment(s) available]""
				id=""comment-img-9619"" style=""height: 10px; width: 10px;""
                title=""1 comment""></a>  </div>",1889
"<a href=""http://us.imdb.com/title/tt1202028/""><img src=""/static/nopass.png"" alt=""[[0]]"" title=""[Fewer than two women in this movie]""></a>
		<a id=""movie-9621"" href=""/view/9621/london&#39;s_trafalgar_square/"">London&#39;s Trafalgar Square</a>   <a href=""/view/9621/london&#39;s_trafalgar_square/"" onclick=""showComments('9621'); return false;""><img src=""/static/comments.png"" alt=""[1 comment(s) available]""
				id=""comment-img-9621"" style=""height: 10px; width: 10px;""
                title=""1 comment""></a>  </div>",1890
